Voltage(V),Measured_Current(A),Fitted_Current(A),Diode_Current(A),Ohmic_Current(A),Nonohmic_Current(A),Relative_Error(%)
-0.5,-1.96e-07,-1.7043958908352335e-07,-6.155262931373813e-08,-4.9993726387299106e-11,-1.0883696604339108e-07,13.041025963020287
-0.49,-1.88e-07,-1.6528766406545568e-07,-6.155260977283232e-08,-4.899391602154079e-11,-1.0368606037663877e-07,12.081029738148425
-0.48,-1.79e-07,-1.602807862925779e-07,-6.155258401184534e-08,-4.7994100316821925e-11,-9.868020818038033e-08,10.45766127609018
-0.47,-1.71e-07,-1.5541776466235757e-07,-6.155255005080982e-08,-4.699427931698514e-11,-9.381822033221682e-08,9.112418314274155
-0.45999999999999996,-1.63e-07,-1.5069739239018065e-07,-6.155250527948317e-08,-4.599445306645027e-11,-8.909889265762761e-08,7.547612020282375
-0.44999999999999996,-1.57e-07,-1.4611844629390443e-07,-6.155244625671002e-08,-4.499462161024072e-11,-8.452100541563361e-08,6.930925917647013
-0.43999999999999995,-1.5e-07,-1.4167968598611364e-07,-6.155236844591366e-08,-4.399478499401319e-11,-8.00833227551933e-08,5.546876001046541
-0.42999999999999994,-1.45e-07,-1.3737985294964918e-07,-6.15522658663834e-08,-4.299494326409172e-11,-7.578459213997427e-08,5.255273819780518
-0.41999999999999993,-1.39e-07,-1.3321766946896129e-07,-6.155213063355165e-08,-4.199509646750701e-11,-7.162354373889386e-08,4.159950015684717
-0.4099999999999999,-1.32e-07,-1.2919183737717183e-07,-6.15519523529205e-08,-4.099524465204253e-11,-6.759888977954241e-08,2.1273959228063553
-0.3999999999999999,-1.26e-07,-1.2530103657013358e-07,-6.155171732104735e-08,-3.999538786628924e-11,-6.370932386128357e-08,0.5547328798687755
-0.3899999999999999,-1.21e-07,-1.2154392322278854e-07,-6.15514074721658e-08,-3.8995526159711215e-11,-5.995352022446376e-08,0.4495233237937101
-0.3799999999999999,-1.16e-07,-1.1791912762080748e-07,-6.155099898946455e-08,-3.799565958272548e-11,-5.633013297174957e-08,1.6544203595982059
-0.3699999999999999,-1.12e-07,-1.144252514995298e-07,-6.155046047426585e-08,-3.699578818679997e-11,-5.283779523713786e-08,2.165403120287178
-0.3599999999999999,-1.07e-07,-1.1106086474195692e-07,-6.15497505323586e-08,-3.599591202457502e-11,-4.947511829763978e-08,3.7952006855419427
-0.34999999999999987,-1.02e-07,-1.0782450124502279e-07,-6.154881459193253e-08,-3.499603115001559e-11,-4.6240690622012614e-08,5.710295325826847
-0.33999999999999986,-9.86e-08,-1.0471465370424801e-07,-6.154758070848726e-08,-3.399614561860316e-11,-4.313307685018772e-08,6.20147433111357
-0.32999999999999985,-9.52e-08,-1.0172976698589823e-07,-6.154595403420979e-08,-3.299625548757977e-11,-4.015081669619956e-08,6.8589989187691
-0.31999999999999984,-9.14e-08,-9.886822965381911e-08,-6.154380952663943e-08,-3.199636081625984e-11,-3.729242376643753e-08,8.170929579514231
-0.30999999999999983,-8.81e-08,-9.612836308163647e-08,-6.154098233607714e-08,-3.099646166643097e-11,-3.455638428388936e-08,9.112784405677667
-0.2999999999999998,-8.54e-08,-9.350840739852875e-08,-6.153725513273805e-08,-2.999655810287122e-11,-3.194115570768819e-08,9.494622221834259
-0.2899999999999998,-8.27e-08,-9.100650328528408e-08,-6.153234139937493e-08,-2.8996650194019208e-11,-2.944516523566981e-08,10.044139374826612
-0.2799999999999998,-8e-08,-8.862066831869073e-08,-6.152586340492475e-08,-2.7996738012844804e-11,-2.706680817573697e-08,10.775835368454459
-0.2699999999999998,-7.78e-08,-8.634876615692949e-08,-6.151732316580888e-08,-2.6996821637983385e-11,-2.48044461695437e-08,10.988131275746712
-0.2599999999999998,-7.51e-08,-8.418846631285181e-08,-6.150606416240962e-08,-2.599690115521651e-11,-2.2656405249264513e-08,12.101819288921934
-0.24999999999999978,-7.3e-08,-8.213719154906843e-08,-6.149122086751015e-08,-2.4996976659408228e-11,-2.0620973704885494e-08,12.51670071407639
-0.23999999999999977,-7.12e-08,-8.019204899012554e-08,-6.14716522064853e-08,-2.3997048257040727e-11,-1.8696399735396912e-08,12.62928225011643
-0.22999999999999976,-7.18e-08,-7.834973980210088e-08,-6.144585383374214e-08,-2.2997116069538884e-11,-1.6880888852284894e-08,9.122200253266763
-0.21999999999999975,-7.26e-08,-7.660644065915727e-08,-6.141184248138455e-08,-2.1997180237633298e-11,-1.5172600997552116e-08,5.518513287746149
